Type,Model Year,JD,RA (deg),Obliquity (deg)
AE,-299194,-107556951.599805,177.287847,-0.000000
WS,-299194,-107556860.873051,267.287861,-23.376869
VE,-299165,-107546540.506904,357.291286,-0.000000
SS,-299165,-107546448.620554,87.291300,23.375743
AE,-299165,-107546359.561375,177.291346,-0.000000
WS,-299165,-107546268.855200,267.291359,-23.375723
VE,-299136,-107535948.491954,357.294771,0.000000
SS,-299136,-107535856.584836,87.294785,23.374589
AE,-299136,-107535767.522877,177.294830,-0.000000
WS,-299136,-107535676.837269,267.294844,-23.374569
VE,-299107,-107525356.477101,357.298241,-0.000000
SS,-299107,-107525264.549220,87.298256,23.373426
AE,-299107,-107525175.484312,177.298301,-0.000000
WS,-299107,-107525084.819258,267.298314,-23.373406
VE,-299078,-107514764.462346,357.301698,-0.000000
SS,-299078,-107514672.513707,87.301712,23.372255
AE,-299078,-107514583.445682,177.301757,-0.000000
WS,-299078,-107514492.801166,267.301770,-23.372235
VE,-299049,-107504172.447688,357.305141,-0.000000
SS,-299049,-107504080.478297,87.305154,23.371075
AE,-299049,-107503991.406986,177.305199,-0.000000
WS,-299049,-107503900.782993,267.305212,-23.371055
VE,-299020,-107493580.433125,357.308569,-0.000000
SS,-299020,-107493488.442992,87.308582,23.369887
AE,-299020,-107493399.368225,177.308627,-0.000000
WS,-299020,-107493308.764737,267.308640,-23.369866
VE,-298991,-107482988.418659,357.311983,-0.000000
SS,-298991,-107482896.407792,87.311996,23.368690
AE,-298991,-107482807.329401,177.312041,-0.000000
WS,-298991,-107482716.746398,267.312053,-23.368669
VE,-298962,-107472396.404287,357.315382,0.000000
SS,-298962,-107472304.372698,87.315395,23.367484
AE,-298962,-107472215.290514,177.315440,-0.000000
WS,-298962,-107472124.727976,267.315452,-23.367464
VE,-298933,-107461804.390010,357.318767,-0.000000
SS,-298933,-107461712.337712,87.318780,23.366270
AE,-298933,-107461623.251564,177.318825,0.000000
WS,-298933,-107461532.709468,267.318837,-23.366249
VE,-298904,-107451212.375827,357.322137,-0.000000
SS,-298904,-107451120.302833,87.322150,23.365047
AE,-298904,-107451031.212552,177.322195,-0.000000
WS,-298904,-107450940.690876,267.322206,-23.365027
VE,-298875,-107440620.361738,357.325493,-0.000000
SS,-298875,-107440528.268064,87.325505,23.363816
AE,-298875,-107440439.173480,177.325550,-0.000000
WS,-298875,-107440348.672198,267.325561,-23.363795
VE,-298846,-107430028.347741,357.328833,0.000000
SS,-298846,-107429936.233405,87.328845,23.362577
AE,-298846,-107429847.134347,177.328890,-0.000000
WS,-298846,-107429756.653433,267.328901,-23.362556
VE,-298817,-107419436.333837,357.332158,0.000000
SS,-298817,-107419344.198857,87.332170,23.361329
AE,-298817,-107419255.095155,177.332215,-0.000000
WS,-298817,-107419164.634581,267.332226,-23.361308
VE,-298788,-107408844.320024,357.335469,-0.000000
SS,-298788,-107408752.164420,87.335480,23.360073
AE,-298788,-107408663.055904,177.335525,-0.000000
WS,-298788,-107408572.615641,267.335536,-23.360051
